Ingredient|DF;Route||Trade_Name|Applicant|Strength|Appl_Type|Appl_No|Product_No|TE_Code|Approval_Date|RLD|Type|Applicant_Full_Name
ABACAVIR SULFATE|SOLUTION|ORAL|ZIAGEN|VIIV HLTHCARE|EQ 20MG BASE/ML|N|020978|001||Dec 17, 1998|Yes|RX|VIIV HEALTHCARE CO
ABACAVIR SULFATE|TABLET|ORAL|ZIAGEN|VIIV HLTHCARE|EQ 300MG BASE|N|020977|001||Dec 17, 1998|Yes|RX|VIIV HEALTHCARE CO
ABACAVIR SULFATE,LAMIVUDINE|TABLET|ORAL|EPZICOM|VIIV HLTHCARE|EQ 600MG BASE,300MG|N|021652|001||Aug 2, 2004|Yes|RX|VIIV HEALTHCARE CO
ABACAVIR SULFATE,LAMIVUDINE,ZIDOVUDINE|TABLET|ORAL|TRIZIVIR|VIIV HLTHCARE|EQ 300MG BASE,150MG,300MG|N|021205|001||Nov 14, 2000|Yes|RX|VIIV HEALTHCARE CO
ABARELIX|INJECTABLE|INTRAMUSCULAR|PLENAXIS|SPECIALITY EUROPEAN|100MG/VIAL|N|021320|001||Nov 25, 2003|No|DISCN|SPECIALITY EUROPEAN PHARMA LTD
ACAMPROSATE CALCIUM|TABLET, DELAYED RELEASE|ORAL|CAMPRAL|FOREST LABS|333MG|N|021431|001||Jul 29, 2004|Yes|RX|FOREST LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|COBALT LABS INC|100MG|A|077532|003|AB|May 7, 2008|No|RX|COBALT LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|COBALT LABS INC|25MG|A|077532|001|AB|May 7, 2008|No|RX|COBALT LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|COBALT LABS INC|50MG|A|077532|002|AB|May 7, 2008|No|RX|COBALT LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|IMPAX LABS|100MG|A|078441|003|AB|May 14, 2009|No|RX|IMPAX LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|IMPAX LABS|25MG|A|078441|001|AB|May 14, 2009|No|RX|IMPAX LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|IMPAX LABS|50MG|A|078441|002|AB|May 14, 2009|No|RX|IMPAX LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|ROXANE|100MG|A|078470|003|AB|May 7, 2008|No|RX|ROXANE LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|ROXANE|25MG|A|078470|001|AB|May 7, 2008|No|RX|ROXANE LABORATORIES INC
ACARBOSE|TABLET|ORAL|ACARBOSE|ROXANE|50MG|A|078470|002|AB|May 7, 2008|No|RX|ROXANE LABORATORIES INC
ACARBOSE|TABLET|ORAL|PRECOSE|BAYER HLTHCARE|100MG|N|020482|002|AB|Sep 6, 1995|No|RX|BAYER HEALTHCARE PHARMACEUTICALS INC
ACARBOSE|TABLET|ORAL|PRECOSE|BAYER HLTHCARE|25MG|N|020482|004|AB|May 29, 1997|Yes|RX|BAYER HEALTHCARE PHARMACEUTICALS INC
ACARBOSE|TABLET|ORAL|PRECOSE|BAYER HLTHCARE|50MG|N|020482|001|AB|Sep 6, 1995|No|RX|BAYER HEALTHCARE PHARMACEUTICALS INC
ACEBUTOLOL HYDROCHLORIDE|CAPSULE|ORAL|ACEBUTOLOL HYDROCHLORIDE|AMNEAL PHARM|EQ 200MG BASE|A|075047|001|AB|Dec 30, 1999|No|RX|AMNEAL PHARMACEUTICAL
ACEBUTOLOL HYDROCHLORIDE|CAPSULE|ORAL|ACEBUTOLOL HYDROCHLORIDE|AMNEAL PHARM|EQ 400MG BASE|A|075047|002|AB|Dec 30, 1999|No|RX|AMNEAL PHARMACEUTICAL
ACEBUTOLOL HYDROCHLORIDE|CAPSULE|ORAL|ACEBUTOLOL HYDROCHLORIDE|MYLAN|EQ 200MG BASE|A|074288|001|AB|Apr 24, 1995|No|RX|MYLAN PHARMACEUTICALS INC
ACEBUTOLOL HYDROCHLORIDE|CAPSULE|ORAL|ACEBUTOLOL HYDROCHLORIDE|MYLAN|EQ 400MG BASE|A|074288|002|AB|Apr 24, 1995|No|RX|MYLAN PHARMACEUTICALS INC
ACEBUTOLOL HYDROCHLORIDE|CAPSULE|ORAL|ACEBUTOLOL HYDROCHLORIDE|WATSON LABS|EQ 200MG BASE|A|074007|001|AB|Oct 18, 1995|No|RX|WATSON LABORATORIES INC
ACEBUTOLOL HYDROCHLORIDE|CAPSULE|ORAL|ACEBUTOLOL HYDROCHLORIDE|WATSON LABS|EQ 400MG BASE|A|074007|002|AB|Oct 18, 1995|No|RX|WATSON LABORATORIES INC
ACEBUTOLOL HYDROCHLORIDE|CAPSULE|ORAL|SECTRAL|PROMIUS PHARMA|EQ 200MG BASE|N|018917|001|AB|Dec 28, 1984|No|RX|PROMIUS PHARMA LLC
ACEBUTOLOL HYDROCHLORIDE|CAPSULE|ORAL|SECTRAL|PROMIUS PHARMA|EQ 400MG BASE|N|018917|003|AB|Dec 28, 1984|Yes|RX|PROMIUS PHARMA LLC
ACETAMINOPHEN|INJECTABLE|INJECTION|INJECTAPAP|ORTHO MCNEIL PHARM|100MG/ML|N|017785|001||Mar 7, 1986|No|DISCN|ORTHO MCNEIL PHARMACEUTICAL INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACEPHEN|G AND W LABS|120MG|N|018060|001||Approved Prior to Jan 1, 1982|No|OTC|G AND W LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACEPHEN|G AND W LABS|120MG|A|072218|001||Mar 27, 1992|No|DISCN|G AND W LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACEPHEN|G AND W LABS|325MG|N|018060|003||Dec 18, 1986|No|OTC|G AND W LABORATORIES INC
