11025-4,Methadone,MCnc,Pt,Meconium,Qn,,,,Methadone Mec-mCnc,
11026-2,Methaqualone,MCnc,Pt,Meconium,Qn,,,,Methaqualone Mec-mCnc,
11027-0,Propoxyphene,MCnc,Pt,Meconium,Qn,,,,Propoxyph Mec-mCnc,
11028-8,Zinc,MCnc,Pt,Body fld,Qn,,,,Zinc Fld-mCnc,
11029-6,Consistency,Type,Pt,Stool,Nom,,,,Consistency Stl,
11030-4,(Aspergillus fumigatus+Aspergillus niger) Ab.IgE,ACnc,Pt,Ser,Qn,,,,A fumigatus+A niger IgE Qn,
1103-1,K little p super little b Ab,ACnc,Pt,Ser/Plas^BPU,Ord,,,,Kp sup(b) Ab SerPl BPU Ql,
1116-3,L little e super little b Ab,ACnc,Pt,Ser/Plas^BPU,Ord,,,,Le sup(b) Ab SerPl BPU Ql,
11163-3,Carageenan Ab.IgE,ACnc,Pt,Ser,Qn,,,,Carageenan IgE Qn,
11164-1,Cheese cream Ab.IgE,ACnc,Pt,Ser,Qn,,,,Cream Cheese IgE Qn,
11165-8,Chinchilla Ab.IgE,ACnc,Pt,Ser,Qn,,,,Chinchilla IgE Qn,
11166-6,Chortoglyphus arcuatus Ab.IgE,ACnc,Pt,Ser,Qn,,,,C arcuatus IgE Qn,
11167-4,Cockatiel feather Ab.IgE,ACnc,Pt,Ser,Qn,,,,Cockatiel Feather IgE Qn,
11168-2,Cupressus arizonica Ab.IgE,ACnc,Pt,Ser,Qn,,,,Arizona Cypress IgE Qn,
11169-0,Deer hair Ab.IgE,ACnc,Pt,Ser,Qn,,,,Deer Hair IgE Qn,
11170-8,Dematiaceae Ab.IgE,ACnc,Pt,Ser,Qn,,,,Dematiaceae IgE Qn,
11347-2,History of outpatient visits,Find,Pt,^Patient,Nom,Reported,,,Outpatient Visits Hx Reported,
11348-0,History of past illness,Find,Pt,^Patient,Nar,Reported,,,,
11349-8,History of past illness,Find,Pt,^Patient,Nom,Reported,,,,
11350-6,History of sexual behavior,Find,Pt,^Patient,Nar,Reported,,,,
11351-4,History of sexual behavior,Find,Pt,^Patient,Nom,Reported,,,Sexual Behavior Hx Reported,
11352-2,History of symptoms & diseases,Find,Pt,Allergic & Immunologic,Nar,Reported,,,,
1135-3,L little u super little a Ab,ACnc,Pt,Ser/Plas,Ord,,,,Lu sup(a) Ab SerPl Ql,
11353-0,History of symptoms & diseases,Find,Pt,Breasts,Nar,Reported,,,,
11354-8,History of symptoms & diseases,Find,Pt,Ears & Nose & Sinuses & Mouth & Thr,Nar,Reported,,,,
11355-5,History of symptoms & diseases,Find,Pt,Gastrointestinal system,Nar,Reported,,,,
11481-9,Human papilloma virus identified,Prid,Pt,XXX,Nom,,,,HPV XXX,
11482-7,Rickettsia rickettsii RNA,ACnc,Pt,Tiss,Ord,Probe.amp.tar,,,R rickettsi RNA Tissue Ql PCR,
11483-5,Varicella zoster virus DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar,,,VZV DNA XXX Ql PCR,
11484-3,Virus identified,Prid,Pt,Amnio fld,Nom,Culture,,,Virus Amn Cult,
11485-0,Anesthesia records,Find,-,^Patient,Multi,,,,,
1148-6,L little u NOS Ab,ACnc,Pt,Ser/Plas^BPU,Ord,,,,Lu NOS Ab SerPl BPU Ql,
11486-8,Chemotherapy records,Find,-,^Patient,Multi,,,,,
11487-6,Consultation request.total,Find,Pt,^Patient,Nar,,,,,
10155-0,History of allergies,Find,Pt,^Patient,Nar,Reported,,,,
10156-8,History of childhood diseases,Find,Pt,^Patient,Nar,Reported,,,,
10145-1,T wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,,,,
10146-9,T wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,,,,
10147-7,T wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,,,,
10148-5,T wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,,,,
10149-3,T wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,,,,
10150-1,T wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,,,,
10151-9,T wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,,,,
10152-7,T wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,,,,
10153-5,T wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,,,,
10154-3,Chief complaint,Find,Pt,^Patient,Nar,Reported,,,,
10302-8,Vendor serial number,ID,Pt,Gastrostomy tube,Nom,,,,,
10303-6,Vendor serial number,ID,Pt,GI tube,Nom,,,,,
10304-4,Vendor serial number,ID,Pt,Intravascular tube,Nom,,,,,
10305-1,Vendor serial number,ID,Pt,IO tube,Nom,,,,,
