2.16.840.1.113883.5.1,AdministrativeGender,Administrative Gender,Complete
2.16.840.1.113883.5.2,MaritalStatus,Marital status,Complete
2.16.840.1.113883.5.1001,ActMood,Act mood code; as specified by the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1002,ActRelationshipType,Act relationship type code,Complete
2.16.840.1.113883.5.1003,Service actor type,Service actor type code; as specified by the Version 3 Data Types specification.,Unknown
2.16.840.1.113883.5.1004,Service target type,Service target type code; as specified by the Version 3 Data Types specification.,Unknown
2.16.840.1.113883.5.1007,DataType,Data type code; as specified by the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1008,NullFlavor,Flavors of null.  As specified in  of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1009,CompressionALgorithm,Compression codes.  As specified by of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1010,IntegrityCheckAlgorithm,Integrity check algorithm.  As specified by  of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1011,TelecommunicationAddressUse,Telecommunication address use code.  As specified in  of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1012,PostalAddressUse,Postal Address use code.  As defined by  of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1013,Postal Address part type,Postal Address part type code.  As defined by  of the Version 3 Data Types specification.,Retired
2.16.840.1.113883.5.1014,Person Name part type,Person Name part type as defined by  of the Version 3 Data Types specification.,Retired
2.16.840.1.113883.5.1015,Person Name part type,Person Name part qualifier as defined by  of the Version 3 Data Types specification.,Retired
2.16.840.1.113883.5.1016,OrganizationNameType,Organization name type code as defined by  of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1017,CalendarType,Calendar type.  As specified in  of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1018,Calendar cycle one letter code,Calendar cycle one letter code.  As specified in  of the Version 3 Data Types specification.,Retired
2.16.840.1.113883.5.1019,Calendar cycle two letter code,Calendar cycle two letter code.  As specified in  of the Version 3 Data Types specification.,Retired
2.16.840.1.113883.5.1020,ProbabilityDistributionType,Probability distribution type code.  As specified in  of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1021,PeriodicIntervalOfTimeAbbreviation,Periodic Interval of Time literal abbreviations.  As specified in of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1022,GTSAbbreviation,GTS literal abbreviation.  As specified in  of the Version 3 Data Types specification.,Complete
2.16.840.1.113883.5.1023,Event code,Event codes for event-related periodic intervals.  As specified in  of the Version 3 Data Types specification.,Unknown
2.16.840.1.113883.6.1,LN,Logical Observation Identifier Names and Codes (LOINC),Complete
2.16.840.1.113883.6.4,ICD10PCS,The International Classification of Diseases\, 10th Revision\, Procedure Coding System (ICD-10-PCS)\, describes the classification of inpatient procedures for statistical purposes and for the indexing of healthcare records by procedures. The ICD-10-PCS codes can be used as the value of the Act.cd attribute,Complete
2.16.840.1.113883.6.5,SNM,Systemized Nomenclature in Medicine Reference Terminology (SNOMED RT),Complete
2.16.840.1.113883.6.6,RC,Clinical Terms Version 3 - The Read Codes - contains over 200\,000 coded concepts arranged in a sub-type hierarchical structure.  Top level hierarchy sections:	Disorders Findings Morphology Surgical procedures Regimes & therapies Investigations Stages & scales Occupations Organisms Units Drugs Appliances & equipment,Complete
2.16.840.1.113883.6.7,NAACCR,NAACCR Cancer Registry,Complete
2.16.840.1.113883.6.8,UCUM,Unified Code for Units of Measure,Complete
2.16.840.1.113883.6.9,ISO4217,ISO 4217 currency code,Complete
2.16.840.1.113883.6.10,MIME,IETF MIME media types,Complete
2.16.840.1.113883.6.11,URL,Universal Resource Locator (URL) schemes.  Currently there is no single authority for URL schemes.  The authority for URL scheme assignments clearly lies within IANA or W3C and it is likely that a formal URL/URI assigning authority will be formed soon.,Complete
2.16.840.1.113883.6.12,C4,American Medical Association�s Current Procedure Terminology 4 (CPT-4) codes.,Complete
2.16.840.1.113883.6.13,CD2,American Dental Association�s Current Dental Terminology 2 (CDT-2) codes.,Complete
2.16.840.1.113883.6.14,HPC,Healthcare Financing Administration (HCFA) Common Procedure Coding System (HCPCS).  Is composed of three �levels�.  Level I is CPT-4\, level II is CDT-2\, and level 3 are the HCPCS modifiers.  Only the HCPCS modifiers are maintained by the Alpha-Numeric Editorial Panel\, consisting of the Health Insurance Association of America and the Blue Cross and Blue Shield Association.,Complete
2.16.840.1.113883.6.15,NIC,NIC provides names and values for procedures/orders/service intent related to the treatment activities of nurses and other providers who may perform the same treatment activities.  Names\, definitions\, and associated codes are attached for 486 interventions.  Defining activities (anywhere from ten to several dozen) are listed for each of the interventions in the NIC classification book but are not attached to this document.,Complete
