AP,Apply Externally
B,Buccal
DT,Dental
EP,Epidural
ET,Endotrachial Tube
GTT,Gastrostomy Tube
GU,GU Irrigant
IA,Intra-arterial
IB,Intrabursal
IC,Intracardiac
ICV,Intracervical (uterus)
ID,Intradermal
IH,Inhalation
IHA,Intrahepatic Artery
IM,Intramuscular
IMR,Immerse (Soak) Body Part
IN,Intranasal
IO,Intraocular
IP,Intraperitoneal
IS,Intrasynovial
IT,Intrathecal
IU,Intrauterine
IV,Intravenous
MM,Mucous Membrane
MTH,Mouth/Throat
NG,Nasogastric
NP,Nasal Prongs
NS,Nasal
NT,Nasotrachial Tube
OP,Ophthalmic
OT,Otic
OTH,Other/Miscellaneous
PF,Perfusion
PO,Oral
PR,Rectal
RM,Rebreather Mask
SC,Subcutaneous
SD,Soaked Dressing
SL,Sublingual
TD,Transdermal
TL,Translingual
TP,Topical
TRA,Tracheostomy
UR,Urethral
VG,Vaginal
VM,Ventimask
WND,Wound
