hcfa_icd_9,hcfa_disease_name,hcfa_valid
"001","CHOLERA*",0
"001.0","CHOLERA D/T VIB CHOLERAE",65535
"001.1","CHOLERA D/T VIB EL TOR",65535
"001.9","CHOLERA NOS",65535
"002","TYPHOID/PARATYPHOID FEV*",0
"002.0","TYPHOID FEVER",65535
"002.1","PARATYPHOID FEVER A",65535
"002.2","PARATYPHOID FEVER B",65535
"002.3","PARATYPHOID FEVER C",65535
"002.9","PARATYPHOID FEVER NOS",65535
"003","OTH SALMONELLA INFECTION",0
"003.0","SALMONELLA ENTERITIS",65535
"003.1","SALMONELLA SEPTICEMIA",65535
"003.2","LOCAL SALMONELLA INFECT*",0
"003.20","LOCAL SALMONELLA INF NOS",65535
"003.21","SALMONELLA MENINGITIS",65535
"003.22","SALMONELLA PNEUMONIA",65535
"003.23","SALMONELLA ARTHRITIS",65535
"003.24","SALMONELLA OSTEOMYELITIS",65535
"003.29","LOCAL SALMONELLA INF NEC",65535
"003.8","SALMONELLA INFECTION NEC",65535
"003.9","SALMONELLA INFECTION NOS",65535
"004","SHIGELLOSIS*",0
"004.0","SHIGELLA DYSENTERIAE",65535
"004.1","SHIGELLA FLEXNERI",65535
"004.2","SHIGELLA BOYDII",65535
"004.3","SHIGELLA SONNEI",65535
"004.8","SHIGELLA INFECTION NEC",65535
"004.9","SHIGELLOSIS NOS",65535
"005","OTHER FOOD POISONING*",0
"005.0","STAPH FOOD POISONING",65535
"005.1","BOTULISM FOOD POISONING",65535
"005.2","FOOD POIS D/T C. PERFRIN",65535
"005.3","FOOD POIS: CLOSTRID NEC",65535
"005.4","FOOD POIS: V. PARAHAEM",65535
"005.8","BACT FOOD POISONING NEC*",0
"005.81","FOOD POISN D/T V. VULNIF",65535
"005.89","BACT FOOD POISONING NEC",65535
"005.9","FOOD POISONING NOS",65535
"006","AMEBIASIS*",0
"006.0","AC AMEBIASIS W/O ABSCESS",65535
"006.1","CHR AMEBIASIS W/O ABSCES",65535
"006.2","AMEBIC NONDYSENT COLITIS",65535
"006.3","AMEBIC LIVER ABSCESS",65535
"006.4","AMEBIC LUNG ABSCESS",65535
"006.5","AMEBIC BRAIN ABSCESS",65535
"006.6","AMEBIC SKIN ULCERATION",65535
"006.8","AMEBIC INFECTION NEC",65535
"006.9","AMEBIASIS NOS",65535
"007","OTH PROTOZOAL INTEST DIS",0
"007.0","BALANTIDIASIS",65535
"007.1","GIARDIASIS",65535
"007.2","COCCIDIOSIS",65535
"007.3","INTEST TRICHOMONIASIS",65535
"007.4","CRYPTOSPORIDIOSIS",65535
"007.5","CYCLOSPORIASIS",65535
"007.8","PROTOZOAL INTEST DIS NEC",65535
"007.9","PROTOZOAL INTEST DIS NOS",65535
"008","INTESTINAL INFECTION NEC",0
"008.0","E. COLI ENTERITIS*",0
"008.00","INTEST INFEC E COLI NOS",65535
"008.01","INT INF E COLI ENTRPATH",65535
"008.02","INT INF E COLI ENTRTOXGN",65535
"008.03","INT INF E COLI ENTRNVSV",65535
"008.04","INT INF E COLI ENTRHMRG",65535
"008.09","INT INF E COLI SPCF NEC",65535
"008.1","ARIZONA ENTERITIS",65535
"008.2","AEROBACTER ENTERITIS",65535
"008.3","PROTEUS ENTERITIS",65535
"008.4","BACTERIAL ENTERITIS NEC*",0
"008.41","STAPHYLOCOCC ENTERITIS",65535
"008.42","PSEUDOMONAS ENTERITIS",65535
"008.43","INT INFEC CAMPYLOBACTER",65535
"008.44","INT INF YRSNIA ENTRCLTCA",65535
"008.45","INT INF CLSTRDIUM DFCILE",65535
"008.46","INTES INFEC OTH ANEROBES",65535
"008.47","INT INF OTH GRM NEG BCTR",65535
"008.49","BACTERIAL ENTERITIS NEC",65535
"008.5","BACTERIAL ENTERITIS NOS",65535
"008.6","VIRAL ENTERITIS NEC*",0
"008.61","INTES INFEC ROTAVIRUS",65535
"008.62","INTES INFEC ADENOVIRUS",65535
"008.63","INT INF NORWALK VIRUS",65535
"008.64","INT INF OTH SML RND VRUS",65535
"008.65","INTES INFEC CALCIVIRUS",65535
"008.66","INTES INFEC ASTROVIRUS",65535
"008.67","INT INF ENTEROVIRUS NEC",65535
"008.69","OTHER VIRAL INTES INFEC",65535
"008.8","VIRAL ENTERITIS NOS",65535
"009","ILL-DEFINED INTEST INF*",0
"009.0","INFECTIOUS ENTERITIS NOS",65535
"009.1","ENTERITIS OF INFECT ORIG",65535
"009.2","INFECTIOUS DIARRHEA NOS",65535
"009.3","DIARRHEA OF INFECT ORIG",65535
"010","PRIMARY TB INFECTION*",0
"010.0","PRIMARY TB COMPLEX*",0
"010.00","PRIM TB COMPLEX-UNSPEC",65535
"010.01","PRIM TB COMPLEX-NO EXAM",65535
"010.02","PRIM TB COMPLEX-EXM UNKN",65535
"010.03","PRIM TB COMPLEX-MICRO DX",65535
"010.04","PRIM TB COMPLEX-CULT DX",65535
"010.05","PRIM TB COMPLEX-HISTO DX",65535
"010.06","PRIM TB COMPLEX-OTH TEST",65535
"010.1","PRIMARY TB PLEURISY*",0
"010.10","PRIM TB PLEURISY-UNSPEC",65535
"010.11","PRIM TB PLEURISY-NO EXAM",65535
"010.12","PRIM TB PLEUR-EXAM UNKN",65535
"010.13","PRIM TB PLEURIS-MICRO DX",65535
"010.14","PRIM TB PLEURISY-CULT DX",65535
"010.15","PRIM TB PLEURIS-HISTO DX",65535
"010.16","PRIM TB PLEURIS-OTH TEST",65535
"010.8","PRIM PROGRESSIVE TB NEC*",0
"010.80","PRIM PROG TB NEC-UNSPEC",65535
"010.81","PRIM PROG TB NEC-NO EXAM",65535
"010.82","PRIM PR TB NEC-EXAM UNKN",65535
"010.83","PRIM PRG TB NEC-MICRO DX",65535
"010.84","PRIM PROG TB NEC-CULT DX",65535
"010.85","PRIM PRG TB NEC-HISTO DX",65535
"010.86","PRIM PRG TB NEC-OTH TEST",65535
"010.9","PRIMARY TB INFECTION NOS",0
"010.90","PRIMARY TB NOS-UNSPEC",65535
"010.91","PRIMARY TB NOS-NO EXAM",65535
"010.92","PRIMARY TB NOS-EXAM UNKN",65535
"010.93","PRIMARY TB NOS-MICRO DX",65535
"010.94","PRIMARY TB NOS-CULT DX",65535
"010.95","PRIMARY TB NOS-HISTO DX",65535
"010.96","PRIMARY TB NOS-OTH TEST",65535
"011","PULMONARY TUBERCULOSIS*",0
"011.0","TB OF LUNG, INFILTRATIVE",0
"011.00","TB LUNG INFILTR-UNSPEC",65535
"011.01","TB LUNG INFILTR-NO EXAM",65535
"011.02","TB LUNG INFILTR-EXM UNKN",65535
"011.03","TB LUNG INFILTR-MICRO DX",65535
"011.04","TB LUNG INFILTR-CULT DX",65535
"011.05","TB LUNG INFILTR-HISTO DX",65535
"011.06","TB LUNG INFILTR-OTH TEST",65535
"011.1","TB OF LUNG, NODULAR*",0
"011.10","TB LUNG NODULAR-UNSPEC",65535
"011.11","TB LUNG NODULAR-NO EXAM",65535
"011.12","TB LUNG NODUL-EXAM UNKN",65535
"011.13","TB LUNG NODULAR-MICRO DX",65535
"011.14","TB LUNG NODULAR-CULT DX",65535
"011.15","TB LUNG NODULAR-HISTO DX",65535
"011.16","TB LUNG NODULAR-OTH TEST",65535
"011.2","TB OF LUNG W CAVITATION*",0
"011.20","TB LUNG W CAVITY-UNSPEC",65535
"011.21","TB LUNG W CAVITY-NO EXAM",65535
"011.22","TB LUNG CAVITY-EXAM UNKN",65535
"011.23","TB LUNG W CAVIT-MICRO DX",65535
"011.24","TB LUNG W CAVITY-CULT DX",65535
"011.25","TB LUNG W CAVIT-HISTO DX",65535
"011.26","TB LUNG W CAVIT-OTH TEST",65535
"011.3","TUBERCULOSIS OF BRONCHUS",0
"011.30","TB OF BRONCHUS-UNSPEC",65535
"011.31","TB OF BRONCHUS-NO EXAM",65535
"011.32","TB OF BRONCHUS-EXAM UNKN",65535
