icd_9,disease_name,valid
"001       ","Cholera","0"
"001.0     ","Cholera due to Vibrio cholerae","1"
"001.1     ","Cholera due to Vibrio cholerae el tor","1"
"001.1     ","El Tor cholera","1"
"001.1     ","Vibrio cholerae el tor","1"
"001.9     ","Asiatic cholera","1"
"001.9     ","Cholera NOS","1"
"001.9     ","Cholera, unspecified","1"
"001.9     ","Cholerine","1"
"002       ","Paratyphoid and typhoid fevers","0"
"002       ","Typhoid and paratyphoid fevers","0"
"002.0     ","Eberth's disease","1"
"002.0     ","Ileotyphus","1"
"002.0     ","Infection by Salmonella typhi","1"
"002.0     ","Post-typhoid abscess","1"
"002.0     ","Typhoenteritis","1"
"002.0     ","Typhogastric fever","1"
"002.0     ","Typhoid","1"
"002.0     ","Typhoid fever","1"
"002.0     ","Typhomania","1"
"002.0     ","Typhoperitonitis","1"
"002.1     ","Paratyphoid A fever","1"
"002.1     ","Paratyphoid fever A","1"
"002.2     ","Paratyphoid B fever","1"
"002.2     ","Paratyphoid fever B","1"
"002.3     ","Paratyphoid C fever","1"
"002.3     ","Paratyphoid fever C","1"
"002.9     ","Brion-Kayser disease","1"
"002.9     ","Paratyphoid fever NOS","1"
"002.9     ","Paratyphoid fever, unspecified","1"
"002.9     ","Schottmuller's syndrome","1"
"003       ","Food poisoning due to salmonella","0"
"003       ","Other salmonella infections","0"
"003       ","Salmonella infections, other","0"
"003.0     ","Gastroenteritis, Salmonella","1"
"003.0     ","Salmonella food poisoning","1"
"003.0     ","Salmonella gastroenteritis","1"
"003.0     ","Salmonellosis","1"
"003.1     ","Salmonella septicemia","1"
"003.1     ","Septicemia, Salmonella","1"
"003.2     ","Localized salmonella infections","0"
"003.2     ","Salmonella infections, localized","0"
"003.20    ","Localized Salmonella infection NOS","1"
"003.20    ","Localized salmonella infection, unspecified","1"
"003.20    ","Salmonella infection, localized, unspecified","1"
"003.21    ","Meningitis, Salmonella","1"
"003.21    ","Salmonella meningitis","1"
"003.22    ","Pneumonia, Salmonella","1"
"003.22    ","Salmonella pneumonia","1"
"003.23    ","Arthritis, Salmonella","1"
"003.23    ","Salmonella arthritis","1"
"003.24    ","Osteomyelitis, Salmonella","1"
"003.24    ","Salmonella osteomyelitis","1"
"003.29    ","Other specified localized Salmonella infection","1"
"003.29    ","Salmonella infections, localized, other","1"
"003.8     ","Other Salmonella infection NEC","1"
"003.8     ","Other specified salmonella infections","1"
"003.8     ","Salmonella infections, other, specified","1"
"003.9     ","Salmonella","1"
"003.9     ","Salmonella infection NOS","1"
"003.9     ","Salmonella infection, unspecified","1"
"003.9     ","Salmonellosis NOS (except human typhoid & paratyphoid)","1"
"003.9     ","Suipestifer infection","1"
"004       ","Shigellosis","0"
"004.0     ","Group A Shigella infection","1"
"004.0     ","Infection due to Group A Shigella","1"
"004.0     ","Schmitz-Stutzer dysentery","1"
"004.0     ","Shigella dysenteriae infection","1"
"004.0     ","Shigella group A infection","1"
"004.0     ","Shigellosis due to Shigella dysenteriae","1"
"004.1     ","Group B Shigella infection","1"
"004.1     ","Hiss-Russell dysentery","1"
"004.1     ","Infection due to Group B Shigella","1"
"004.1     ","Shigella flexneri infection","1"
"004.1     ","Shigella group B infection","1"
"004.1     ","Shigellosis due to Shigella flexneri","1"
"004.2     ","Boyd's dysentery","1"
"004.2     ","Flexner-Boyd dysentery","1"
"004.2     ","Group C Shigella infection","1"
"004.2     ","Infection due to Group C Shigella","1"
"004.2     ","Shigella boydii infection","1"
"004.2     ","Shigella group C infection","1"
"004.2     ","Shigellosis due to Shigella boydii","1"
"004.3     ","Group D Shigella infection","1"
"004.3     ","Infection due to Group D Shigella","1"
"004.3     ","Shigella group D infection","1"
"004.3     ","Shigella sonnei infection","1"
"004.3     ","Shigellosis due to Shigella sonnei","1"
"004.3     ","Sonne dysentery","1"
"004.8     ","Other specified Shigella infections","1"
"004.8     ","Russell's dysentery","1"
"004.8     ","Shigella infections, other, specified","1"
"004.9     ","Bacillary dysentery","1"
"004.9     ","Chinese dysentery","1"
"004.9     ","Shigella","1"
"004.9     ","Shigellosis NOS","1"
"004.9     ","Shigellosis, unspecified","1"
"005       ","Food poisoning (bacterial), other","0"
"005       ","Other food poisoning (bacterial)","0"
"005.0     ","Food poisoning due to staphylococci","1"
"005.0     ","Food poisoning due to staphylococcus","1"
"005.0     ","Staphylococcal food poisoning","1"
"005.0     ","Staphylococcal toxemia due to food","1"
"005.0     ","Staphylococcal toxemia specified as due to food","1"
"005.1     ","Botulism","1"
"005.1     ","Clostridium botulinum food poisoning","1"
"005.1     ","Food poisoning due to botulism","1"
"005.1     ","Food poisoning due to Clostridium botulinum","1"
"005.1     ","Food poisoning due to Clostridium botulinum toxin","1"
"005.2     ","C. perfringes (C. welchii) food poisoning","1"
"005.2     ","Clostridium perfringes (C. welchii) food poisoning","1"
"005.2     ","Enteritis necrotans","1"
"005.2     ","Enteritis necroticans","1"
"005.2     ","Enteritis necroticans due to Clostridium perfringens","1"
"005.2     ","Food poisoning due to Clostridium perfringens","1"
"005.2     ","Food poisoning due to Clostridium perfringens [C. welchii]","1"
"005.2     ","Pigbel","1"
"005.3     ","Clostridial food poisoning (not due to C. perfringes)","1"
"005.3     ","Food poisoning due to other Clostridia","1"
"005.4     ","Food poisoning due to Vibrio parahaemolyticus","1"
"005.4     ","Vibrio parahaemolyticus food poisoning","1"
"005.8     ","Bacillus cereus food poisoning","0"
"005.8     ","Food poisoning (due to uncommon bacterial organisms)","0"
"005.8     ","Food poisoning due to Bacillus cereus","0"
"005.8     ","Food poisoning due to streptococcus","0"
"005.81    ","Food poisoning due to Vibrio vulnificus","1"
"005.81    ","Vibrio vulnificus food poisoning","1"
"005.89    ","Food poisoning due to other bacteria","1"
"005.89    ","Other bacterial food poisoning","1"
"005.9     ","Bacterial food poisoning NOS","1"
"005.9     ","Contamination, food","1"
"005.9     ","Creotoxism","1"
"005.9     ","Food contamination","1"
"005.9     ","Food poisoning due to bacteria NOS","1"
"005.9     ","Food poisoning, unspecified","1"
"005.9     ","Kreotoxism","1"
"005.9     ","Ptomaine","1"
"006       ","Amebiasis","0"
"006       ","Entamoeba histolytica infection","0"
"006       ","Infection due to ameba","0"
"006.0     ","Acute amebiasis","1"
"006.0     ","Acute amebic dysentery without mention of abscess","1"
"006.0     ","Amebiasis, acute","1"
"006.0     ","Amebic dysentery (acute) without mention of abscess","1"
"006.0     ","Dysentery (amebic) acute and without mention of abscess","1"
"006.1     ","Amebiasis (intestinal) chronic and without mention of abscess","1"
"006.1     ","Amebic dysentery, chronic","1"
"006.1     ","Chronic amebiasis","1"
"006.1     ","Chronic amebic dysentery","1"
"006.1     ","Chronic intestinal amebiasis without mention of abscess","1"
"006.1     ","Dysentery, amebic, chronic","1"
"006.1     ","Intestinal amebiasis (chronic) without mention of abscess","1"
"006.2     ","Amebiasis, nondysenteric colitis","1"
"006.2     ","Amebic nondysenteric colitis","1"
"006.2     ","Colitis, amebic and nondysenteric","1"
"006.3     ","Abscess of liver, amebic","1"
"006.3     ","Amebiasis, hepatic","1"
"006.3     ","Amebic liver abscess","1"
"006.3     ","Hepatic amebiasis","1"
"006.3     ","Liver abscess, amebic","1"
"006.4     ","Abscess of lung, amebic","1"
"006.4     ","Amebic lung abscess","1"
"006.4     ","Lung abscess, amebic","1"
"006.5     ","Abscess of brain, amebic","1"
"006.5     ","Amebic brain abscess","1"
"006.5     ","Brain abscess, amebic","1"
"006.6     ","Amebiasis, cutaneous","1"
"006.6     ","Amebic skin ulceration","1"
"006.6     ","Cutaneous amebiasis","1"
"006.6     ","Skin ulceration, amebic","1"
"006.6     ","Ulceration of skin, amebic","1"
"006.8     ","Amebic abscess","1"
"006.8     ","Amebic appendicitis","1"
"006.8     ","Amebic balanitis","1"
"006.8     ","Amebic infection of other sites","1"
"006.8     ","Ameboma","1"
"006.8     ","Appendicitis, amebic","1"
"006.8     ","Balanitis, amebic","1"
"006.8     ","Infection due to ameba (of uncommon sites)","1"
"006.9     ","Amebiasis NOS","1"
"006.9     ","Amebiasis, unspecified","1"
"006.9     ","Amebic dysentery","1"
"006.9     ","Amebic infection, unspecified","1"
"006.9     ","Infection due to ameba, unspecified","1"
"006.9     ","Infection due to Entamoeba histolytica, SAI","1"
"007       ","Intestinal diseases due to protozoa","0"
"007       ","Other protozoal intestinal diseases","0"
"007       ","Protozoal colitis NOS","0"
"007       ","Protozoal intestinal disease, other","0"
"007.0     ","Balantidiasis","1"
"007.0     ","Balantidiosis","1"
"007.0     ","Infection by Balantidium coli","1"
"007.1     ","Giardia lamblia infestation","1"
"007.1     ","Giardiasis","1"
"007.1     ","Giardiosis","1"
"007.1     ","Infection by Giardia lamblia","1"
"007.1     ","Lambliasis","1"
"007.2     ","Coccidiosis","1"
"007.2     ","Human coccidiosis","1"
"007.2     ","Infection by Isospora belli","1"
"007.2     ","Infection by Isospora hominis","1"
"007.2     ","Intestinal coccidiosis","1"
"007.2     ","Isospora belli infection","1"
"007.2     ","Isospora hominis infection","1"
