main_multum_drug_code,active_ingredient_code,ingredient_strength_code
658,4229,5736
658,4613,6267
659,4416,5916
660,4416,6243
661,4534,6377
662,4416,6435
663,4264,5925
664,4534,6749
665,4534,6001
666,4264,5870
667,4534,6289
668,4264,5923
669,4264,6249
670,4417,6751
671,4418,6389
672,4229,5739
672,4613,6270
673,4418,6763
674,4536,6377
675,4536,6001
676,4267,6306
677,4356,6613
677,4566,6156
677,5383,6863
678,4267,6504
679,4267,6651
680,4535,5866
681,4419,6391
682,4419,6389
683,4419,6763
684,4420,5863
686,4268,6378
687,4229,5798
687,4653,5978
688,4419,6162
688,5088,6389
689,4419,6389
689,5088,6389
690,4269,6488
691,4419,6389
691,5417,5791
692,4419,6763
692,5417,5791
693,4122,6243
693,4157,5898
694,4421,6073
695,4231,6440
696,4356,6250
696,4566,6609
696,5383,6378
697,4422,6242
699,4232,6751
700,4233,5923
701,4424,6651
702,4122,6243
702,4837,5916
703,4356,6250
703,5383,6378
704,4425,5978
705,4272,5734
706,4273,5752
707,4273,5753
708,4233,5923
708,5384,6088
709,4356,6252
709,5383,6494
710,4273,5752
711,4124,6389
712,4234,6749
713,4273,5774
716,4278,5773
717,4235,6001
718,4278,5774
719,4278,5773
720,4238,6389
721,4356,6613
721,5383,6863
722,4276,5752
723,4238,5912
724,4273,5752
725,4276,5753
726,4425,5897
726,4491,6719
726,5284,6270
726,5333,6958
727,4239,5918
728,4239,6245
729,4239,5912
730,4356,6608
730,5383,6856
731,4239,6241
732,4276,5752
733,4239,6763
734,4240,6651
735,4425,6252
735,4491,5981
735,5383,6494
736,4356,6981
736,5383,6088
737,4425,6252
737,4491,5981
737,5383,6494
738,4126,5916
739,4271,6441
739,4277,6441
741,4241,6771
741,5317,6026
742,4357,6749
743,4241,6771
743,5317,6026
744,4357,6162
745,4357,6683
746,4270,5885
747,4127,5967
748,4270,5882
749,4425,6252
749,4566,6931
749,4805,6009
749,5284,5981
750,4127,6283
751,4241,6657
751,4837,5977
751,5163,6465
751,5317,6026
752,4130,6981
752,5383,6856
753,4358,17644
754,4425,6252
754,4835,6270
755,4241,6657
755,4837,5977
755,5163,6465
756,4273,5752
756,4482,5915
757,4425,6252
757,4835,5956
757,5284,6719
758,4277,6609
759,4425,6252
759,4835,6270
759,5284,6719
760,4132,6306
761,4359,6562
762,4425,6613
762,4835,5956
762,5284,6719
764,4242,6657
764,5163,6465
764,5317,6026
765,4425,6613
765,4835,6270
765,5284,5981
768,4360,6001
769,4132,6311
770,4425,6252
770,4835,6719
770,5284,6719
771,4132,6651
772,4132,7009
773,4280,5866
774,4133,6763
775,4425,6252
775,4835,6270
775,5383,6494
777,4133,6018
778,4361,5916
779,4243,5872
780,4243,6250
781,4243,5976
782,4243,6289
783,4135,6441
784,4362,6267
785,4362,6712
786,4280,5825
787,4425,6608
787,5083,5935
787,5284,5976
788,4280,5976
789,4280,6289
791,4245,5990
792,4425,6981
792,5083,6267
792,5284,6289
793,4245,6897
794,7411,6749
795,4425,6252
795,5083,5888
795,5284,5981
796,4368,6389
797,4281,6715
798,4425,6252
798,5083,5937
798,5284,5981
799,4368,6763
800,4281,6712
801,4425,6608
801,5083,5935
801,5284,5976
802,4281,5976
803,4368,6102
804,4368,6231
805,4425,6249
805,5083,5935
805,5284,5976
806,4249,8264
807,4281,6377
808,4368,6391
809,4249,8264
810,4425,6981
810,5083,6267
810,5284,6289
811,4281,6749
812,4368,6582
814,20550,7038
815,20550,7038
816,4425,6981
816,5083,6267
816,5383,6088
817,4143,6302
818,8263,8264
819,4425,6608
819,5270,6360
819,5288,6749
820,4143,5771
821,4143,5866
822,4425,6712
822,5284,5976
822,5288,6640
822,5290,6152
824,4143,6252
825,4143,6249
826,4143,6608
828,4229,5727
828,4861,5782
828,5272,6189
828,5445,5718
829,4143,6981
830,4143,6608
831,4229,5759
831,4861,5759
831,5272,6695
831,5445,5730
832,4369,6763
833,4369,6102
834,4229,5727
834,4861,5782
834,5272,6189
834,5445,5718
836,4369,6768
837,4425,5876
837,5284,5937
837,5288,6719
837,5290,6252
838,4369,5912
839,4369,6391
840,4229,5728
840,4861,5783
840,5272,6190
840,5445,5719
841,4129,5752
842,4129,5752
843,4425,5872
843,5284,5936
843,5288,6715
843,5290,6250
844,4285,6249
845,8100,5912
846,4250,6152
846,4310,6152
847,8100,6241
848,4250,6156
848,4310,6156
849,8100,5965
850,4291,6712
851,4425,6981
851,5284,6289
852,4291,5976
855,4425,6252
855,5284,6719
856,4425,6613
856,5284,5981
857,4291,6267
857,4834,6838
859,4291,6712
859,4834,6838
861,4291,5976
861,4834,6838
862,4318,6001
862,4674,5923
862,4948,5791
862,5254,6488
864,4425,6608
864,5284,5976
864,5288,6749
864,5394,6377
865,4425,6608
865,5284,5976
865,5288,6749
865,5394,6377
866,4371,6769
867,4371,5918
868,4425,6608
868,5284,6289
868,5290,6749
869,4145,6342
870,4371,5912
871,4425,6249
871,5284,5976
871,5290,6377
872,4371,6702
873,4146,5976
874,4146,6640
875,4371,5965
876,4371,6763
877,4292,5849
878,4425,6608
878,5284,6289
