brand_code,brand_description
464,"Amipaque"
465,"GamaSTAN S/D"
466,"Codeine Phosphate/Guaifenesin/PPA"
467,"Gamimune"
468,"Gammagard S/D"
472,"Codeine/Guaifenesin/Pseudoephedrine HCl"
473,"Gamulin Rh"
474,"Guaifenesin-Theophylline"
476,"Carafate"
480,"Codeine Phosphate/PE/Promethazine HCl"
481,"Amytal Sodium"
482,"Guaimax-D"
483,"Anafranil"
484,"Duramorph PF"
485,"Guanabenz Acetate"
486,"Atropine SO4-Diphenoxylate HCl"
488,"Ana-Guard"
491,"Gastrocrom"
492,"Ana-Kit"
495,"Caramiphen Edisylate-PPA"
496,"Gantanol"
497,"Anaprox"
498,"Duricef"
499,"Gantrisin"
501,"Duvoid"
502,"Garamycin"
503,"Anaspaz"
504,"Codeine Phosphate-Promethazine HCl"
505,"Carbachol Ophthalmic"
506,"Dyazide"
507,"Acetaminophen-Codeine Phosphate"
508,"Gastrografin"
510,"Anatuss"
511,"G Bid"
512,"Dyclone"
513,"Carbamazepine"
516,"Anatuss LA"
519,"Gel-Kam"
520,"Ancef"
521,"Guanfacine Hydrochloride"
522,"Dymelor"
523,"Gemfibrozil"
525,"Ancobon"
526,"Dynabac"
527,"Hydrocortisone/Neomycin/Polymyxin B"
529,"Android"
530,"Guanidine HCl"
531,"Dynacin"
532,"Genoptic"
533,"Anectine"
534,"Dalgan"
535,"Gentacidin"
536,"Dynacirc"
537,"Dalmane"
538,"Anestacon"
540,"Gentamicin Sulfate, Injectable"
542,"Dynapen"
543,"Anexsia"
544,"Codeine/Pseudoephedrine HCl/Triprolidine HCl"
545,"Habitrol"
546,"Gentamicin Sulfate, Ophthalmic"
547,"Angioscein(obsolete)"
548,"Dyrenium"
550,"Gentamicin Sulfate, Topical"
551,"Codiclear DH(obsolete)"
552,"Ear-Eze"
553,"Easprin"
554,"Codimal DH (obsolete)"
557,"Carbidopa-Levodopa"
559,"Codimal PH"
561,"EC-Naprosyn"
562,"Gentran 40"
563,"Cogentin"
564,"Cognex"
567,"Geocillin"
568,"Econopred"
569,"Halcion"
571,"Haldol"
572,"Glaucon"
573,"Edecrin"
574,"GlipiZIDE"
578,"Atropisol"
579,"Halog"
581,"Colchicine"
582,"Atrovent"
583,"Haloperidol"
584,"A/T/S"
585,"Glucagon"
587,"Attenuvax"
588,"Colchicine-Probenecid"
589,"Augmentin"
591,"Auralgan (obsolete)"
592,"Glucophage"
593,"Colestid"
594,"Effexor"
595,"Glucotrol"
597,"GlyBURIDE"
598,"Efudex"
600,"Halotestin"
601,"Halothane"
602,"Glycerin"
603,"Glycine"
604,"Harmonyl"
605,"Danazol"
606,"Havrix (obsolete)"
608,"H-BIG"
609,"Glycopyrrolate"
610,"Carbinoxamine/Dextromethorpan/PSE"
611,"Helixate (obsolete)"
612,"Hemabate"
613,"Glynase PresTab"
615,"Gold Sodium Thiomalate"
618,"Aureomycin"
619,"GoLYTELY"
620,"Aurolate"
626,"Elase"
627,"Autoplex T"
628,"AVC"
629,"Dantrium"
633,"Elase-Chloromycetin"
634,"Aventyl HCl"
635,"Hydrocortisone Acetate-Pramoxine HCl"
637,"Axid Pulvules"
638,"Elavil"
640,"Eldepryl"
641,"Gordochom"
643,"Eldopaque Forte"
645,"Coly Mycin M"
646,"Eldoquin Forte"
647,"Azdone"
651,"APAP/Dichloralphenazone/Isometheptene"
652,"Ipol"
653,"Colyte"
655,"Azmacort"
656,"Combipres"
658,"Comhist"
660,"Compazine"
662,"Condylox"
663,"Azulfidine"
665,"Conray"
666,"Carbinoxamine-Pseudoephedrine"
668,"Elimite"
672,"Conte-Pak-4"
674,"Elixophyllin"
675,"Ismelin"
677,"Acetaminophen-Hydrocodone Bitartrate"
678,"ISMO"
679,"Bacitracin, Ophthalmic"
680,"Carbiset"
682,"Dapsone"
683,"Elixophyllin-GG"
