main_multum_drug_code,principal_route_code,dose_form_code,product_strength_code,drug_id,csa_schedule,j_code,j_code_description
2,2426,2440,3075,"d00806","4","          ",""
4,2426,2475,3908,"d00806","4","          ",""
5,2426,2440,3480,"d00806","4","          ",""
6,2420,1086,1530,"d02376","0","P9045     ","250 mL, IJ"
7,2426,2475,3357,"d00198","4","          ",""
8,2420,1086,2530,"d02376","0","P9047     ","50 mL, IJ"
9,2426,2475,3868,"d00198","4","          ",""
10,2434,2450,2582,"d04210","0","          ",""
11,2436,1069,2598,"d04210","0","          ",""
12,2434,2450,2597,"d04210","0","          ",""
13,2426,2475,2685,"d00537","0","          ",""
14,2426,2475,2739,"d00537","0","          ",""
15,2426,2475,3098,"d00537","0","          ",""
16,2414,1086,7644,"d00537","0","J1000     ","Up to 5 mg, IJ"
17,2414,1086,7645,"d00537","0","J1380     ","Up to 10 mg, IJ"
18,2414,1086,7646,"d00537","0","J1390     ","Up to 20 mg, IJ"
19,2414,1086,7647,"d00537","0","J0970     ","Up to 40 mg, IJ"
22,2409,1086,1532,"d01473","0","          ",""
24,2409,1086,2530,"d01473","0","          ",""
25,2409,1086,1533,"d01473","0","          ",""
26,2409,2466,2803,"d01473","0","          ",""
27,2409,1086,3668,"d01473","0","          ",""
28,2436,1069,2709,"d00541","0","          ",""
29,2426,2440,3189,"d00128","0","          ",""
31,2426,2440,3554,"d00128","0","          ",""
32,2426,2475,2658,"d00541","0","          ",""
33,2426,2475,2708,"d00541","0","          ",""
34,2426,2475,2725,"d00541","0","          ",""
35,2426,2475,2768,"d00541","0","          ",""
36,2426,2475,3146,"d00541","0","          ",""
37,2426,2440,7253,"d03456","0","          ",""
38,2426,2440,3856,"d03456","0","          ",""
39,2426,2475,7253,"d03456","0","          ",""
40,2426,2475,3856,"d03456","0","          ",""
43,2426,2475,2678,"d04202","0","          ",""
44,2426,2475,2679,"d04202","0","          ",""
48,2420,2466,3677,"d00521","0","J2997     ","1 mg, IV"
49,2420,2466,2865,"d00521","0","J2997     ","1 mg, IV"
50,2425,1086,1534,"d01184","0","          ",""
54,2433,1069,1528,"d03204","0","          ",""
55,2426,2475,2658,"d00542","0","          ",""
56,2426,2475,2708,"d00542","0","          ",""
57,2426,2475,3677,"d00519","0","          ",""
58,2426,2475,2768,"d00542","0","          ",""
59,2426,2475,3146,"d00542","0","          ",""
60,2433,1086,1528,"d03204","0","          ",""
61,2414,2466,2730,"d01103","0","          ",""
62,2409,2466,3267,"d00604","0","J0800     ","Up to 40 units, IJ"
63,2433,1069,1530,"d03204","0","          ",""
64,2426,2461,7227,"d00797","0","          ",""
65,2433,1086,1530,"d03204","0","          ",""
67,2420,2466,3382,"d00522","0","J0350     ","Per 30 units, IJ"
69,2433,1086,1529,"d03204","0","          ",""
70,2414,1086,3602,"d00534","0","J1435     ","Per 1 mg, IJ"
71,2409,1086,3185,"d00598","0","J0630     ","Up to 400 units, IJ"
72,2409,2466,3550,"d00604","0","J0800     ","Up to 40 units, IJ"
73,2426,2440,3677,"d01372","0","          ",""
80,2409,2466,3569,"d01388","0","          ",""
83,2420,1086,3681,"d00235","0","J9190     ","500 mg, IJ"
92,2426,2475,2768,"d00543","0","          ",""
93,2436,1069,2781,"d04211","0","          ",""
95,2426,2475,3146,"d00543","0","          ",""
96,2426,2475,3326,"d00543","0","          ",""
97,2433,1069,1534,"d01254","0","          ",""
98,2409,1063,7740,"d00084","0","          ",""
99,2433,1069,1544,"d01254","0","          ",""
102,2433,1069,1538,"d01254","0","          ",""
103,2433,1069,1528,"d01254","0","          ",""
104,2433,1068,1534,"d01254","0","          ",""
105,2433,1068,1528,"d01254","0","          ",""
106,2433,1068,1544,"d01254","0","          ",""
