drug_id,pregnancy_category
"d00001","C"
"d00002","D"
"d00003","B"
"d00004","D"
"d00005","C"
"d00006","D"
"d00007","B"
"d00008","B"
"d00009","B"
"d00010","B"
"d00011","C"
"d00012","C"
"d00013","D"
"d00014","N"
"d00015","B"
"d00016","C"
"d00017","N"
"d00018","C"
"d00019","B"
"d00020","C"
"d00021","B"
"d00022","X"
"d00023","C"
"d00024","D"
"d00025","N"
"d00026","N"
"d00027","N"
"d00028","B"
"d00029","N"
"d00030","C"
"d00031","N"
"d00032","C"
"d00033","N"
"d00034","C"
"d00035","N"
"d00036","D"
"d00037","D"
"d00038","C"
"d00039","N"
"d00040","N"
"d00041","D"
"d00042","C"
"d00043","N"
"d00044","C"
"d00045","C"
"d00046","B"
"d00047","C"
"d00048","C"
"d00049","N"
"d00050","N"
"d00051","C"
"d00052","B"
"d00053","B"
"d00054","C"
"d00055","B"
"d00056","B"
"d00057","B"
"d00058","C"
"d00059","B"
"d00060","X"
"d00061","D"
"d00062","B"
"d00063","B"
"d00064","N"
"d00065","C"
"d00066","C"
"d00067","B"
"d00068","N"
"d00069","D"
"d00070","C"
"d00071","C"
"d00072","B"
"d00073","B"
"d00074","B"
"d00075","C"
"d00077","B"
"d00078","B"
"d00079","C"
"d00080","B"
"d00081","B"
"d00082","C"
"d00083","D"
"d00084","C"
"d00085","X"
"d00086","C"
"d00087","D"
"d00088","B"
"d00089","B"
"d00090","B"
"d00091","B"
"d00092","B"
"d00093","B"
"d00094","B"
"d00095","B"
"d00096","B"
"d00097","C"
"d00098","C"
"d00099","C"
"d00100","C"
"d00101","N"
"d00102","C"
"d00103","C"
"d00104","C"
"d00105","B"
"d00106","C"
"d00107","B"
"d00108","B"
"d00109","B"
"d00110","D"
"d00111","D"
"d00112","B"
"d00113","C"
"d00114","C"
"d00115","B"
"d00116","B"
"d00117","C"
"d00118","C"
"d00119","C"
"d00120","C"
"d00121","N"
"d00122","B"
"d00123","C"
"d00124","C"
"d00125","C"
"d00126","C"
"d00127","C"
"d00128","B"
"d00129","C"
"d00130","C"
"d00131","C"
"d00132","C"
"d00133","B"
"d00134","C"
"d00135","C"
"d00136","C"
"d00137","B"
"d00138","C"
"d00139","C"
"d00140","B"
"d00141","B"
"d00142","C"
"d00143","N"
"d00144","N"
"d00145","N"
"d00146","N"
"d00147","C"
"d00148","N"
"d00149","D"
"d00150","D"
"d00151","B"
"d00152","B"
"d00153","B"
"d00154","C"
"d00155","C"
"d00157","N"
"d00158","N"
"d00159","D"
"d00160","C"
"d00161","C"
"d00162","C"
"d00164","C"
"d00167","C"
"d00168","D"
"d00169","B"
"d00170","N"
"d00171","D"
"d00172","C"
"d00173","C"
"d00174","C"
"d00175","N"
"d00176","C"
"d00177","N"
"d00178","B"
"d00179","C"
"d00180","C"
"d00181","C"
"d00182","B"
"d00183","D"
"d00184","C"
"d00185","D"
"d00186","B"
"d00187","B"
"d00188","D"
"d00189","N"
"d00190","C"
"d00191","B"
"d00192","B"
"d00193","N"
"d00195","D"
"d00196","C"
"d00197","B"
"d00198","N"
"d00199","B"
"d00200","B"
"d00201","D"
"d00202","C"
"d00203","C"
"d00204","X"
"d00205","D"
"d00206","C"
"d00207","N"
"d00208","C"
"d00209","C"
"d00210","C"
"d00211","X"
"d00212","B"
"d00213","B"
"d00214","C"
"d00215","B"
"d00216","C"
"d00217","N"
"d00218","D"
"d00219","C"
"d00220","N"
"d00222","X"
"d00223","C"
"d00224","C"
"d00226","C"
"d00227","N"
"d00229","X"
"d00230","D"
"d00231","C"
"d00233","C"
"d00234","C"
"d00235","D"
"d00236","B"
"d00237","C"
"d00238","N"
"d00239","B"
"d00240","D"
"d00241","N"
"d00242","D"
"d00243","N"
"d00245","C"
"d00246","C"
"d00248","B"
"d00250","C"
"d00251","C"
"d00252","C"
"d00253","B"
"d00254","C"
"d00255","C"
"d00256","D"
"d00257","D"
"d00259","N"
"d00260","B"
"d00262","B"
"d00265","B"
"d00267","C"
"d00268","C"
"d00269","B"
"d00270","C"
"d00271","D"
"d00272","N"
"d00273","C"
"d00275","C"
"d00276","C"
"d00277","N"
"d00278","A"
"d00279","N"
"d00280","X"
"d00282","C"
"d00283","N"
"d00284","X"
"d00285","C"
"d00286","C"
"d00287","D"
"d00288","N"
"d00289","D"
"d00290","D"
"d00291","C"
"d00292","N"
"d00293","N"
"d00295","X"
"d00297","C"
"d00298","B"
"d00299","B"
"d00300","C"
"d00301","D"
"d00302","C"
"d00303","X"
"d00305","N"
"d00306","D"
"d00307","B"
"d00308","C"
"d00310","C"
"d00311","B"
"d00312","D"
"d00313","C"
"d00314","C"
"d00315","C"
"d00316","D"
"d00318","C"
"d00321","C"
"d00322","B"
"d00323","C"
"d00325","C"
"d00328","B"
"d00329","N"
"d00330","C"
"d00331","N"
"d00332","C"
"d00333","N"
"d00334","C"
"d00335","D"
"d00336","C"
"d00337","B"
"d00340","D"
"d00341","N"
"d00342","C"
"d00343","N"
"d00344","N"
"d00345","C"
"d00346","C"
"d00348","X"
"d00349","B"
"d00350","N"
"d00351","N"
"d00352","N"
"d00353","B"
"d00354","D"
"d00355","N"
"d00356","N"
