TOPIC MEASURE,CODING SYSTEM,CODE,MODIFIER,PLACE OF SERVICE,EFFECTIVE DATE
1,CPT_II,3046F,,,4/1/2006
1,CPT_II,3044F,,,7/1/2007
1,CPT_II,3045F,,,1/1/2007
1,CPT_II,3046F,8P,,7/1/2007
1,I9,250.00,,,1/1/1984
1,I9,250.01,,,1/1/1984
1,I9,250.02,,,10/1/1993
1,I9,250.03,,,10/1/1993
1,I9,250.10,,,1/1/1984
1,I9,250.11,,,1/1/1984
1,I9,250.12,,,10/1/1993
1,I9,250.13,,,10/1/1993
1,I9,250.20,,,1/1/1984
1,I9,250.21,,,1/1/1984
1,I9,250.22,,,10/1/1993
1,I9,250.23,,,10/1/1993
1,I9,250.30,,,1/1/1984
1,I9,250.31,,,1/1/1984
1,I9,250.32,,,10/1/1993
1,I9,250.33,,,10/1/1993
1,I9,250.40,,,1/1/1984
1,I9,250.41,,,1/1/1984
1,I9,250.42,,,10/1/1993
1,I9,250.43,,,10/1/1993
1,I9,250.50,,,1/1/1984
1,I9,250.51,,,1/1/1984
1,I9,250.52,,,10/1/1993
1,I9,250.53,,,10/1/1993
1,I9,250.60,,,1/1/1984
1,I9,250.61,,,1/1/1984
1,I9,250.62,,,10/1/1993
1,I9,250.63,,,10/1/1993
1,I9,250.70,,,1/1/1984
1,I9,250.71,,,1/1/1984
1,I9,250.72,,,10/1/1993
1,I9,250.73,,,10/1/1993
1,I9,250.80,,,1/1/1984
1,I9,250.81,,,1/1/1984
1,I9,250.82,,,10/1/1993
1,I9,250.83,,,10/1/1993
1,I9,250.90,,,1/1/1984
1,I9,250.91,,,1/1/1984
1,I9,250.92,,,10/1/1993
1,I9,250.93,,,10/1/1993
1,I9,648.00,,,1/1/1984
1,I9,648.01,,,1/1/1984
1,I9,648.02,,,1/1/1984
1,I9,648.03,,,1/1/1984
1,I9,648.04,,,1/1/1984
1,C4,97802,,,1/1/2001
1,C4,97803,,,1/1/2001
1,C4,97804,,,1/1/2001
1,C4,99201,,,1/1/1992
1,C4,99202,,,1/1/1992
1,C4,99203,,,1/1/1992
1,C4,99204,,,1/1/1992
1,C4,99205,,,1/1/1992
1,C4,99211,,,1/1/1992
1,C4,99212,,,1/1/1992
1,C4,99213,,,1/1/1992
1,C4,99214,,,1/1/1992
1,C4,99215,,,1/1/1992
1,C4,99304,,,1/1/2006
1,C4,99305,,,1/1/2006
1,C4,99306,,,1/1/2006
1,C4,99307,,,1/1/2006
1,C4,99308,,,1/1/2006
1,C4,99309,,,1/1/2006
1,C4,99310,,,1/1/2006
1,C4,99324,,,1/1/2006
1,C4,99325,,,1/1/2006
1,C4,99326,,,1/1/2006
1,C4,99327,,,1/1/2006
1,C4,99328,,,1/1/2006
1,C4,99334,,,1/1/2006
1,C4,99335,,,1/1/2006
1,C4,99336,,,1/1/2006
1,C4,99337,,,1/1/2006
1,C4,99341,,,1/1/1992
1,C4,99342,,,1/1/1992
1,C4,99343,,,1/1/1992
1,C4,99344,,,1/1/1998
1,C4,99345,,,1/1/1998
1,C4,99347,,,1/1/1998
1,C4,99348,,,1/1/1998
1,C4,99349,,,1/1/1998
1,C4,99350,,,1/1/1998
1,HCPCS,G0270,,,1/1/2003
1,HCPCS,G0271,,,1/1/2003
2,CPT_II,3048F,,,4/1/2006
2,CPT_II,3049F,,,4/1/2006
2,CPT_II,3050F,,,4/1/2006
2,CPT_II,3048F,8P,,7/1/2007
2,I9,250.00,,,1/1/1984
2,I9,250.01,,,1/1/1984
2,I9,250.02,,,10/1/1993
2,I9,250.03,,,10/1/1993
2,I9,250.10,,,1/1/1984
2,I9,250.11,,,1/1/1984
2,I9,250.12,,,10/1/1993
2,I9,250.13,,,10/1/1993
2,I9,250.20,,,1/1/1984
2,I9,250.21,,,1/1/1984
2,I9,250.22,,,10/1/1993
2,I9,250.23,,,10/1/1993
2,I9,250.30,,,1/1/1984
2,I9,250.31,,,1/1/1984
2,I9,250.32,,,10/1/1993
2,I9,250.33,,,10/1/1993
2,I9,250.40,,,1/1/1984
2,I9,250.41,,,1/1/1984
2,I9,250.42,,,10/1/1993
2,I9,250.43,,,10/1/1993
2,I9,250.50,,,1/1/1984
2,I9,250.51,,,1/1/1984
2,I9,250.52,,,10/1/1993
2,I9,250.53,,,10/1/1993
2,I9,250.60,,,1/1/1984
2,I9,250.61,,,1/1/1984
2,I9,250.62,,,10/1/1993
2,I9,250.63,,,10/1/1993
2,I9,250.70,,,1/1/1984
2,I9,250.71,,,1/1/1984
2,I9,250.72,,,10/1/1993
2,I9,250.73,,,10/1/1993
2,I9,250.80,,,1/1/1984
2,I9,250.81,,,1/1/1984
2,I9,250.82,,,10/1/1993
2,I9,250.83,,,10/1/1993
2,I9,250.90,,,1/1/1984
2,I9,250.91,,,1/1/1984
2,I9,250.92,,,10/1/1993
2,I9,250.93,,,10/1/1993
2,I9,648.00,,,1/1/1984
2,I9,648.01,,,1/1/1984
2,I9,648.02,,,1/1/1984
2,I9,648.03,,,1/1/1984
2,I9,648.04,,,1/1/1984
2,C4,97802,,,1/1/2001
2,C4,97803,,,1/1/2001
2,C4,97804,,,1/1/2001
2,C4,99201,,,1/1/1992
2,C4,99202,,,1/1/1992
2,C4,99203,,,1/1/1992
2,C4,99204,,,1/1/1992
2,C4,99205,,,1/1/1992
2,C4,99211,,,1/1/1992
2,C4,99212,,,1/1/1992
2,C4,99213,,,1/1/1992
2,C4,99214,,,1/1/1992
2,C4,99215,,,1/1/1992
2,C4,99304,,,1/1/2006
2,C4,99305,,,1/1/2006
2,C4,99306,,,1/1/2006
2,C4,99307,,,1/1/2006
2,C4,99308,,,1/1/2006
2,C4,99309,,,1/1/2006
2,C4,99310,,,1/1/2006
2,C4,99324,,,1/1/2006
2,C4,99325,,,1/1/2006
2,C4,99326,,,1/1/2006
2,C4,99327,,,1/1/2006
2,C4,99328,,,1/1/2006
2,C4,99334,,,1/1/2006
2,C4,99335,,,1/1/2006
2,C4,99336,,,1/1/2006
2,C4,99337,,,1/1/2006
2,C4,99341,,,1/1/1992
2,C4,99342,,,1/1/1992
2,C4,99343,,,1/1/1992
2,C4,99344,,,1/1/1998
2,C4,99345,,,1/1/1998
2,C4,99347,,,1/1/1998
2,C4,99348,,,1/1/1998
2,C4,99349,,,1/1/1998
2,C4,99350,,,1/1/1998
2,HCPCS,G0270,,,1/1/2003
