Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
1,24,-2.01118107,16.575027675,0.080592465,14.520953329,14.737319472,15.090328265,15.74164233,16.575027675,17.55718781,18.162194733,18.609481276,19.338010618,19.859858115
1,24.5,-1.982373595,16.547774867,0.0801274288,14.503476669,14.719292573,15.071174743,15.71962876,16.547774867,17.521292788,18.119549228,18.561106338,19.278898128,19.791940141
1,25.5,-1.924100169,16.494427632,0.0792339937,14.46882381,14.683608414,15.033357254,15.676344635,16.494427632,17.451350388,18.036680126,18.467295933,19.164659645,19.66102345
1,26.5,-1.86549793,16.442595522,0.0783893561,14.43459737,14.648433294,14.996195048,15.634034999,16.442595522,17.383836555,17.957002275,18.377361906,19.055674233,19.536575397
1,27.5,-1.807261899,16.392243398,0.0775935012,14.400828277,14.613786255,14.959690474,15.592679796,16.392243398,17.318710201,17.880471005,18.29125345,18.951867497,19.418488052
1,28.5,-1.750118905,16.343336543,0.0768464622,14.367547175,14.579685777,14.923845144,15.552258528,16.343336543,17.255931298,17.807042591,18.208920408,18.853165291,19.306654105
1,29.5,-1.69481584,16.295840971,0.0761483079,14.334784135,14.546149661,14.888660028,15.512750567,16.295840971,17.195460929,17.736674142,18.130313102,18.759493593,19.200966909
1,30.5,-1.642106779,16.249723714,0.0754991255,14.302568372,14.513194923,14.85413557,15.474135486,16.249723714,17.137261294,17.669323458,18.055382142,18.670778406,19.10132056
1,31.5,-1.592744414,16.204952678,0.0748989935,14.270928334,14.480837948,14.820271893,15.436393188,16.204952678,17.081295301,17.604948602,17.984078116,18.586945886,19.007610506
1,32.5,-1.547442391,16.161498714,0.0743479966,14.239889707,14.449093293,14.7870687,15.399505213,16.161498714,17.027528307,17.543508981,17.916351977,18.507921309,18.919731254
1,33.5,-1.506902601,16.119332582,0.0738461386,14.209478199,14.417975614,14.754525899,15.363453352,16.119332582,16.975924854,17.484962947,17.852153836,18.433630719,18.837580724
1,34.5,-1.471770047,16.078427579,0.0733933698,14.179716981,14.387498109,14.722643426,15.328221247,16.078427579,16.926451011,17.429269329,17.791433588,18.363999601,18.761057109
1,35.5,-1.442628957,16.038758958,0.0729895508,14.150627151,14.357672932,14.691421518,15.293794298,16.038758958,16.879073565,17.376386767,17.734140533,18.298953229,18.690059923
1,36.5,-1.419991255,16.000304012,0.0726344323,14.122227569,14.328511189,14.660860875,15.260159883,16.000304012,16.833759903,17.326273561,17.680223246,18.238416662,18.624490107
1,37.5,-1.404277619,15.963042771,0.072327649,14.094534131,14.300022559,14.630962724,15.22730791,15.963042771,16.79047852,17.278887949,17.62962965,18.182314401,18.564249301
1,38.5,-1.39586317,15.926954175,0.0720686401,14.067563285,14.27221761,14.601729363,15.1952288,15.926954175,16.749195248,17.234185537,17.582305867,18.130572441,18.509244783
1,39.5,-1.394935252,15.892025816,0.0718568052,14.041322876,14.245102016,14.573163164,15.163919012,15.892025816,16.709882467,17.192125454,17.538198877,18.083113112,18.459377192
1,40.5,-1.401671596,15.858240929,0.071691278,14.015824303,14.218684325,14.545268061,15.133373821,15.858240929,16.672506675,17.152662007,17.497252885,18.039861981,18.414556972
1,41.5,-1.416100312,15.825588223,0.0715710933,13.991073321,14.192970112,14.518048471,15.103592813,15.825588223,16.637037867,17.115750983,17.459412067,18.00074262,18.374691868
1,42.5,-1.438164899,15.794057282,0.0714951131,13.967074386,14.167964724,14.491509775,15.074577279,15.794057282,16.603445205,17.081346773,17.424619345,17.965679031,18.339692642
1,43.5,-1.467669032,15.763642549,0.0714621062,13.943826979,14.143670894,14.4656578,15.046332352,15.763642549,16.571700922,17.049405037,17.392817585,17.934593498,18.309467847
1,44.5,-1.504376347,15.734336684,0.0714706462,13.921331901,14.120092688,14.440499466,15.018863186,15.734336684,16.541774116,17.019878597,17.363947848,17.907410074,18.283932044
1,45.5,-1.547942838,15.706135657,0.0715192177,13.899586603,14.097232459,14.416042095,14.992177659,15.706135657,16.513635771,16.992720871,17.337950949,17.884051832,18.262999112
1,46.5,-1.597896397,15.679040623,0.0716062769,13.878583524,14.075089663,14.392292996,14.966287194,15.679040623,16.487260819,16.967887393,17.314768223,17.864439827,18.246579487
1,47.5,-1.653732283,15.653051916,0.071730167,13.858315818,14.053664432,14.369260002,14.941203248,15.653051916,16.462622584,16.945332151,17.294339986,17.848496221,18.234587502
1,48.5,-1.714869347,15.628172692,0.0718892136,13.838774042,14.032955327,14.346950843,14.916939107,15.628172692,16.439696571,16.925010281,17.276606839,17.836142298,18.226936331
1,49.5,-1.780673181,15.604407997,0.0720817373,13.819947109,14.012959844,14.325373048,14.893509134,15.604407997,16.418459852,16.90687779,17.261509659,17.827298905,18.223538751
1,50.5,-1.850468473,15.58176458,0.0723060813,13.80182253,13.993674447,14.304533768,14.870928451,15.58176458,16.398891192,16.890891793,17.24898984,17.821886501,18.224306914
1,51.5,-1.923551865,15.560250666,0.0725606369,13.784386668,13.975094635,14.284439603,14.849212593,15.560250666,16.380971128,16.877010731,17.238989524,17.819825229,18.22915216
