Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97,Pub3,Pub5,Pub10,Pub25,Pub50,Pub75,Pub90,Pub95,Pub97,Diff3,Diff5,Diff10
1,0,1.2670042261,49.988884079,0.0531121908,44.9250977976054,45.5684090997953,46.5542930191283,48.1893738140463,49.988884079,51.7712574852631,53.3615347489539,54.3072119715771,54.9190044535762,45.006125533,45.639150747,46.609256641,48.218174004,49.988884079,51.742731577,53.307562321,54.238104965,54.840115281,-0.0810277353946489,-0.0707416472047484,-0.0549636218716572
1,0.5,0.5112376962,52.695975301,0.0486926838,47.9781237289086,48.5580920591964,49.4578038295636,50.979188894577,52.695975301,54.4405431340853,56.0344409944283,56.9990773731045,57.6298432273064,48.049737687,48.620909502,49.506961997,51.005253689,52.695975301,54.414056528,55.983760336,56.933751797,57.554950746,-0.0716139580913477,-0.062817442803599,-0.049158167436417
1,1.5,-0.45224446,56.628428552,0.0441168302,52.1985946900997,52.7261065869033,53.5536465659792,54.9791044093995,56.628428552,58.3505940783497,59.9664032927709,60.9646537916633,61.6259148751262,52.261166911,52.781234001,53.597082813,55.002406161,56.628428552,58.326263152,59.919249186,60.903396873,61.555325735,-0.0625722209003357,-0.0551274140966882,-0.0434362470207716
1,2.5,-0.990594599,59.608953427,0.0417955825,55.2632177988627,55.7734505006415,56.5777214480317,57.9743988163658,59.608953427,61.33788093201,62.9815810038618,64.0078854888541,64.6924090907813,55.321532519,55.82492468,56.618401306,57.996337283,59.608953427,61.314675735,62.936319749,63.948850063,64.62419672,-0.0583147201372967,-0.0514741793585003,-0.0406798579682714
1,3.5,-1.285837689,62.077000266,0.0404541256,57.7304929347406,58.2374433948044,59.0383022664733,60.4343343865457,62.077000266,63.8254260405793,65.4985800404481,66.5488903032389,67.2518959664659,57.786498853,58.286923271,59.077460935,60.455505221,62.077000266,63.802892065,65.454487547,66.491261888,67.185217966,-0.0560059182593804,-0.0494798761955622,-0.0391586685266816
1,4.5,-1.43031238,64.216864104,0.0396338789,59.8256861622673,60.3364690517742,61.1440960517707,62.5540884936898,64.216864104,65.9913066287385,67.6940478686016,68.7653775717319,69.4835396581404,59.880381977,60.384808837,61.182374224,62.574804451,64.216864104,65.969199347,67.650732054,68.708715016,69.417940829,-0.0546958147327388,-0.0483397852257852,-0.0382781722292833
1,5.5,-1.47657547,66.125314898,0.0391238128,61.6638370896265,62.1826080663385,63.002959620743,64.4354633830482,66.125314898,67.9293475879754,69.6612233008438,70.7512829895234,71.4821822482071,61.717804436,62.230306506,63.040732876,64.455909088,66.125314898,67.907520286,69.618447274,70.69531881,71.417386102,-0.0539673463735397,-0.0476984396615379,-0.0377732552569867
1,6.5,-1.456837849,67.860179904,0.0388119944,63.312242388854,63.8416613064386,64.6785365049069,66.1389573500098,67.860179904,69.6957947027878,71.4560916317014,72.5630679790426,73.3048834934378,63.365848915,63.889034004,64.716042945,66.159250255,67.860179904,69.674153027,71.413701899,72.507627805,73.240708882,-0.053606526145991,-0.0473726975613928,-0.0375064400930967
1,7.5,-1.391898768,69.459084582,0.0386332091,64.8139541988347,65.3558384891164,66.2118122523828,67.7037500029861,69.459084582,71.3273536202234,73.1152468262671,74.2376674565529,74.9889928197064,64.867445742,65.403096485,66.249211121,67.723968731,69.459084582,71.305833957,73.073139027,74.182631733,74.925314574,-0.0534915431652934,-0.0472579958836548,-0.0373988686172453
1,8.5,-1.29571459,70.948039123,0.0385468328,66.1983256978706,66.7539798471866,67.6308774877649,69.1568171782938,70.948039123,72.8494700064575,74.6640975696173,75.8007440832438,76.56047112136,66.251873477,66.801269993,67.668279464,69.177016313,70.948039123,72.828027972,74.622198164,75.74602764,76.497199141,-0.0535477791294312,-0.0472901458133634,-0.0374019762351026
