TOPIC MEASURE,CODING SYSTEM,CODE,MODIFIER,PLACE OF SERVICE,END DATE
1,I9,250.00,N/A,N/A,
1,I9,250.01,N/A,N/A,
1,I9,250.02,N/A,N/A,
1,I9,250.03,N/A,N/A,
1,I9,250.10,N/A,N/A,
1,I9,250.11,N/A,N/A,
1,I9,250.12,N/A,N/A,
1,I9,250.13,N/A,N/A,
1,I9,250.20,N/A,N/A,
1,I9,250.21,N/A,N/A,
1,I9,250.22,N/A,N/A,
1,I9,250.23,N/A,N/A,
1,I9,250.30,N/A,N/A,
1,I9,250.31,N/A,N/A,
1,I9,250.32,N/A,N/A,
1,I9,250.33,N/A,N/A,
1,I9,250.40,N/A,N/A,
1,I9,250.41,N/A,N/A,
1,I9,250.42,N/A,N/A,
1,I9,250.43,N/A,N/A,
1,I9,250.50,N/A,N/A,
1,I9,250.51,N/A,N/A,
1,I9,250.52,N/A,N/A,
1,I9,250.53,N/A,N/A,
1,I9,250.60,N/A,N/A,
1,I9,250.61,N/A,N/A,
1,I9,250.62,N/A,N/A,
1,I9,250.63,N/A,N/A,
1,I9,250.70,N/A,N/A,
1,I9,250.71,N/A,N/A,
1,I9,250.72,N/A,N/A,
1,I9,250.73,N/A,N/A,
1,I9,250.80,N/A,N/A,
1,I9,250.81,N/A,N/A,
1,I9,250.82,N/A,N/A,
1,I9,250.83,N/A,N/A,
1,I9,250.90,N/A,N/A,
1,I9,250.91,N/A,N/A,
1,I9,250.92,N/A,N/A,
1,I9,250.93,N/A,N/A,
1,I9,357.2,N/A,N/A,
1,I9,362.01,N/A,N/A,
1,I9,362.02,N/A,N/A,
1,I9,362.03,N/A,N/A,
1,I9,362.04,N/A,N/A,
1,I9,362.05,N/A,N/A,
1,I9,362.06,N/A,N/A,
1,I9,362.07,N/A,N/A,
1,I9,366.41,N/A,N/A,
1,I9,648.00,N/A,N/A,
1,I9,648.01,N/A,N/A,
1,I9,648.02,N/A,N/A,
1,I9,648.03,N/A,N/A,
1,I9,648.04,N/A,N/A,
1,C4,97802,N/A,N/A,
1,C4,97803,N/A,N/A,
1,C4,97804,N/A,N/A,
1,C4,99201,N/A,N/A,
1,C4,99202,N/A,N/A,
1,C4,99203,N/A,N/A,
1,C4,99204,N/A,N/A,
1,C4,99205,N/A,N/A,
1,C4,99212,N/A,N/A,
1,C4,99213,N/A,N/A,
1,C4,99214,N/A,N/A,
1,C4,99215,N/A,N/A,
1,C4,99304,N/A,N/A,
1,C4,99305,N/A,N/A,
1,C4,99306,N/A,N/A,
1,C4,99307,N/A,N/A,
1,C4,99308,N/A,N/A,
1,C4,99309,N/A,N/A,
1,C4,99310,N/A,N/A,
1,C4,99324,N/A,N/A,
1,C4,99325,N/A,N/A,
1,C4,99326,N/A,N/A,
1,C4,99327,N/A,N/A,
1,C4,99328,N/A,N/A,
1,C4,99334,N/A,N/A,
